"","sl_no","word1","freq1","word2","freq2"
"498",498,"knew",3,"columnist",2
"499",499,"knowing",3,"combined",2
"500",500,"knownnhtgawm",3,"compared",2
"501",501,"left",3,"confident",2
"502",502,"look",3,"controversial",2
"503",503,"looking",3,"couldnt",2
"504",504,"lost",3,"cuz",2
"505",505,"lot",3,"dailynewsvinny",2
"506",506,"mad",3,"dawgs",2
"507",507,"marcosnotahero",3,"debuts",2
"508",508,"mean",3,"deep",2
"509",509,"meant",3,"defense",2
"510",510,"media",3,"defensive",2
"511",511,"michaela",3,"demoted",2
"512",512,"myselfnmichaela",3,"derricknighton",2
"513",513,"nah",3,"division",2
"514",514,"name",3,"dnppouncey",2
"515",515,"nykanycole",3,"eduaubdedubueduaubcedubfu",2
"516",516,"oitnb",3,"eduaubdedubufeduaubcedubfubf",2
"517",517,"praying",3,"energy",2
"518",518,"puhlease",3,"ericdickerson",2
"519",519,"reaction",3,"ers",2
"520",520,"repeatedly",3,"event",2
"521",521,"rescued",3,"everett",2
"522",522,"response",3,"everyone",2
"523",523,"revealed",3,"fame",2
"524",524,"ruin",3,"far",2
"525",525,"sake",3,"feel",2
"526",526,"sandgomezz",3,"finsup‚",2
"527",527,"scenario",3,"firefisher",2
"528",528,"scenes",3,"four",2
"529",529,"seantaneous",3,"frednbcla",2
"530",530,"showed",3,"generalmp",2
"531",531,"since",3,"gets",2
"532",532,"social",3,"give",2
"533",533,"somebody",3,"gmfb",2
"534",534,"something",3,"goffera",2
"535",535,"start",3,"gonna",2
"536",536,"streetwear",3,"goodell",2
"537",537,"stressed",3,"gotta",2
"538",538,"taken",3,"heard",2
"539",539,"tears",3,"high",2
"540",540,"telly",3,"highly",2
"541",541,"tgit",3,"hip",2
"542",542,"thekeatingive",3,"historical",2
"543",543,"tonights",3,"holt",2
"544",544,"traumatizednconnor",3,"honor",2
"545",545,"tweet",3,"hoping",2
"546",546,"upset",3,"httpstcobdieyeqx",2
"547",547,"waiting",3,"httpstcobm‚Ä",2
"548",548,"wasnt",3,"httpstcobnkfuladt",2
