"","x"
"188","RT @Derek_ACZ: Leme watch #HTGAWM before the tl spoils it for me"
"189","RT @mishacklesifer: @RestingPlatypus this is getting worse #HTGAWM https://t.co/PRga6mbeBp"
"190","im fucking shook #htgawm"
"191","we still paying 2016's debt!! dnt tel me its wes!!!!! #HTGAWM"
"192","RT @liza_weil: I love you Wes Gibbons. I love you Alfred Enoch. <U+2764><U+FE0F>
#HTGAWM"
"193","RT @liza_weil: I love you Wes Gibbons. I love you Alfred Enoch. <U+2764><U+FE0F>
#HTGAWM"
"194","RT @petenowalk: This was the hardest showrunner decision I've ever made #StomachPains&amp;Tears #HTGAWM"
"195","can't believe i was sucked into watching a show in which a poor immigrant black guy has a horrible life and then dies. #htgawm"
"196","WHY DID IT HAVE TO BE WES, FUCCCCKKKINNGGG WHHHHHYYYYYY?! #HTGAWM https://t.co/LfIGKFRzvy"
"197","Listen, I'm heartbroken about who's #UnderTheSheet, but I'm so glad Annalise &amp; Nate still have time 2 reconnect. #HTGAWM #TGIT @shondarhimes"
"198","i didn't want to look at spoilers and i can't believe it <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #HTGAWM"
"199","RT @nuffsaidNY: THEY KILLED WES! 
I WANT TO FILE A COMPLAINT! 

#HTGAWM https://t.co/rRDfKYllLx"
"200","RT @MattMcGorry: I'm signing off before I get sad. Have a good night everyone! Hope your coping mechanisms kick in soon <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #HTGAWM"
"201","RT @halfhalaltrash: Me thinking Nate died in #htgawm vs after finding out it's Wes https://t.co/dOzRZki33f"
"202","RT @shan24x7: The question is, what happened between the time we saw Nate at the house and when Laurel showed up #HTGAWM"
"203","RT @alonzolerone: Sorry, can't go to work tomorrow. Someone real close to me died in a fire #HTGAWM"
"204","Holy crap! #HTGAWM"
"205","RT @funbeaz: Pretty much
#HTGAWM https://t.co/4FHK4HGzfP"
"206","Omg WHAT #htgawm"
"207","RT @ReemaAlmutairy: How to move on from this ? #HTGAWM"
"208","RT @gabbydavidson_: how to get away with murder just furthered my belief that 2016 is the worst year in existence #HTGAWM"
"209","I can't believe this 
<ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>#HTGAWM"
"210","I know, this being the mid-season finale, I have a few weeks (months?) to get over this but... aaaagh puppy! <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #HTGAWM"
"211","RT @ajanaomi_king: I have to go call my parents now bcz I know they will be devastated ...
It hurts us too :(
#HTGAWM"
"212","RT @liza_weil: Alrighty West Coast. Breathe. Process. We'll see you in January. Big love to you all. 
#HTGAWM"
"213","RT @ajanaomi_king: I have to go call my parents now bcz I know they will be devastated ...
It hurts us too :(
#HTGAWM"
"214","RT @scsiingh: THEY DID NOT JUST KILL OFF THE MAIN CHARAXTER WTF #HTGAWM"
"215","Shonda what did you just do? #htgawm"
"216","RT @RestingPlatypus: We got through it. Thanks for tuning in fam. #HTGAWM"
"217","RT @HowToGetAwayABC: #HTGAWM Returns 01.19.17! 
#TGIT IS BACK!!! https://t.co/E2L5czo6Nu"
"218","LATEST EP OF #HTGAWM GOT ME LIKE https://t.co/jttxwTUbfE"
"219","RT @HowToGetAwayABC: No words!
#HTGAWM https://t.co/3tgYe33cz4"
"220","THAT WAS NOT WHAT I EXPECTED HOLYSHT #HTGAWM"
"221","RT @DONHALOGEN: #HTGAWM is not coming back till January 19?? https://t.co/Y8X56rRjXQ"
"222","RT @nuffsaidNY: Calling out tomorrow. There was a death in my family tonight and I need time to mourn. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #HTGAWM https://t.co/y5oQoN7jLW"
"223","RT @iBiebTeam: Bonnie: ""I want us all to be safe"" 

Frank: 

#HTGAWM https://t.co/V9fg8D2M2E"
"224","Wow #HTGAWM...did you really just do that to us? Didn't see that one coming! <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>"
"225","RT @liza_weil: Massive hugs to all east coast viewers....it's a lot.  See you in the new year. Thanks for watching. 
#HTGAWM"
"226","RT @ajanaomi_king: For those that already know ...I'm so sorry.
#HTGAWM"
"227","RT @RestingPlatypus: I don't want to spoil anything for those of you who haven't seen the ep yet. But DAMN #HTGAWM"
"228","I caaaaan't after that episode 
#HTGAWM"
"229","RT @petenowalk: And we officially say goodbye to 1130 Whitley Ave #BestSetEver #HTGAWM #UnderTheSheet"
"230","RT @trendinaliaPI: <U+2488> #MarcosNOTaHero
<U+2489> #MMFF2016
<U+248A> People Power Monument
<U+248B> TeamVKJ In MMFF
<U+248C> #HTGAWM

2016/11/18 16:57 PHT #trndnl https://…"
"231","I'm dying. How am I supposed to wait til January 19th?! #HTGAWM"
"232","#HTGAWM tonight <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2> not okay with this"
"233","I've just watched episode S03E09 of How to Get Away with...! #HTGAWM https://t.co/cqRpuG4Vtm"
"234","RT @cottoncolford: the nurse: sex male age undetermined ethnicity black 
*nate walks in*
me: oh... my... god..
#htgawm"
"235","Wes = John Snow. Right? #HTGAWM <ed><U+00A0><U+00BD><ed><U+00B2><U+0094><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>"
"236","RT @ajanaomi_king: For those that already know ...I'm so sorry.
#HTGAWM"
"237","RT @ajanaomi_king: OH GOD PLEASE HELP
#HTGAWM https://t.co/IvjuDznVQH"
"238","I am still reeling from last nights #htgawm finale Holy shiiiet! Where do we go from here!?"
"239","RT @ajanaomi_king: For those that already know ...I'm so sorry.
#HTGAWM"
"240","RT @HowToGetAwayABC: #HTGAWM Returns 01.19.17! 
#TGIT IS BACK!!! https://t.co/E2L5czo6Nu"
"241","RT @ajanaomi_king: OH GOD PLEASE HELP
#HTGAWM https://t.co/IvjuDznVQH"
"242","RT @TheCharlieWeber: Me and @liza_weil went and got a cheeseburger after this scene...<ed><U+00A0><U+00BD><ed><U+00B8><U+008E>
#HTGAWM https://t.co/D5OgAIWaSK"
"243","RT @WhAtS_dE_tWEEt: CAUTION: 
#HTGAWM will 

Ruin your life
Run your pressure up
RUIN your life 
Take u thru 100 emotions 
RUIN YOUR LIFE !…"
"244","RT @Bahashtyy: I seriousely wanna cry for 10000 years right now <ed><U+00A0><U+00BD><ed><U+00B9><U+0083>#HTGAWM"
"245","OH M Y GLOB

SSSSSSSHHHHHHHHT

#HTGAWM"
"246","RT @Vine_Studio: WHEN YOU TAKE CREATIVITY TO A WHOLE NEW LVL.....DAMN HAT'S OFF TO THE ARTIST....#HTGAWM,#GIFS,#FUNNY,@animallovepage https…"
"247","RT @JimmyKimmelLive: From #HTGAWM the newly unemployed Alfred Enoch TONIGHT! #UnderTheSheet https://t.co/DUZIsg0LrJ"
"248","RT @gabbydavidson_: how to get away with murder just furthered my belief that 2016 is the worst year in existence #HTGAWM"
"249","#HTGAWM SO MUCH SHIT GOING ON I'M https://t.co/IvB4ckWAVS"
"250","Genuinley worried i'll stumble upon a #Htgawm spoiler"
"251","RT @iBiebTeam: me: I know who's under the sheet 

htgawm writers: bitch you don't even know

#HTGAWM https://t.co/OKKCSoYUa8"
"252","Leme watch #HTGAWM before the tl spoils it for me"
"253","RT @Gia98Gia: After seeing who was under the sheet #HTGAWMWinterFinale #HTGAWM https://t.co/HCB8NYbMdo"
"254","You and your writers are evil Shonda, pure evil. @shondarhimes #HTGAWM"
"255","RT @sirencoliver: OH MY GOD??? EVERYONE IS KISSING EVERYONE WHAT'S HAPPENING #HTGAWM"
"256","RT @ajanaomi_king: I have to go call my parents now bcz I know they will be devastated ...
It hurts us too :(
#HTGAWM"
"257","FUCK  #HTGAWM"
"258","The Moment they said young black male ..I knew it was my BABY Wes ! #HTGAWM https://t.co/vLUw63uX45"
"259","RT @Mizz_Jai: Yo I'm tight... he survived the Wizarding War and Voldemort only to be taken out like this!!!! Real Tears <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #HTGAWM"
"260","RT @MattMcGorry: I'm signing off before I get sad. Have a good night everyone! Hope your coping mechanisms kick in soon <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #HTGAWM"
"261","Yes Bonnie. Did you sleep with him? Tell'em gurl #HTGAWM"
"262","is Laurel dead too???? #HTGAWM"
"263","RT @HowToGetAwayABC: 7 Minutes Left.
DO. NOT. LOOK. AWAY!!
#HTGAWM https://t.co/qCpkYBRKnZ"
"264","RT @munaism: I think classes should be cancelled nationwide for a week due to high emotional stress #htgawm"
"265","I CANT WITH #HTGAWM <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>"
"266","Up watching #HTGAWM because I know social media will ruin it for me <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>"
"267","RT @NatalieAbrams: How to Get Away with Murder's surprising victim speaks out https://t.co/N2g40SK0pH #HTGAWM @HowToGetAwayABC https://t.co…"
"268","Damn... Its Wes #HTGAWM"
"269","Too much spoilers. Bye muna social media. #HTGAWM"
"270","RT @ajanaomi_king: I have to go call my parents now bcz I know they will be devastated ...
It hurts us too :(
#HTGAWM"
"271","I totally did NOT see that coming! <ed><U+00A0><U+00BD><ed><U+00B8><U+00B3> #HTGAWM WTF!!!"
"272","RT @JRoz99: I thought I was having a bad week then I watched How to get Away with murder.... #HTGAWM"
"273","#HTGAWM that winter finale tho <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF>"
"274","RT @Z16_albrecht: Crossing my fingers till it broke, praying like ""let there be a Jon Snow scenario on Wes Gibbins"".. Puhlease! #HTGAWM"
"275","RT @HowToGetAwayABC: No words!
#HTGAWM https://t.co/3tgYe33cz4"
"276","This music is freaking me out <ed><U+00A0><U+00BD><ed><U+00B8><U+00A3> #HTGAWM"
"277","RT @Gia98Gia: After seeing who was under the sheet #HTGAWMWinterFinale #HTGAWM https://t.co/HCB8NYbMdo"
"278","RT @Yoo_Tori: When you realize how much you weren't ready for Wes to die even when he got on your damn nerves #HTGAWM https://t.co/neWxxCOr…"
"279","RT @UNeed2LawyerUp: #HTGAWM Wess is under the sheets.  Told you so. https://t.co/fP77L5Vvyu"
"280","Don't follow Yo, unless you like #HTGAWM spoilers. https://t.co/upUkzdlvqm"
"281","#HTGAWM knowing how Shonda rolls. Next season she's gonna kill off Anneliese, and Bonnie is going to take her place"
"282","RT @keithington: I'm sick...goodnight #HTGAWM https://t.co/lbfCIdIJnm"
"283","RT @DrunkyBorghy: WHAT THE FUCK WHAT THE FUCK #HTGAWM"
"284","RT @DrunkyBorghy: WHAAAAAAAAAT THE FUUUUUUCKKK #HTGAWM"
"285","I'm shock af <ed><U+00A0><U+00BC><ed><U+00BC><U+009A><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B2><U+0094><ed><U+00A0><U+00BD><ed><U+00BA><U+00B6>.
 #htgawm"
"286","Are you trying to tell me frank blew the fucking house up?? Wtfffffffffffff #HTGAWM"
"287","RT @laurenof_arabia: Damn, Annalise! This show should be called ""How To Be Repeatedly Accused of Murder"".  #HTGAWM #Keating5 #Wes  #Shondal…"
"288","RT @ajanaomi_king: I have to go call my parents now bcz I know they will be devastated ...
It hurts us too :(
#HTGAWM"
"289","How am I supposed to wait another 6 months for #HTGAWM"
"290","RT @ajanaomi_king: For those that already know ...I'm so sorry.
#HTGAWM"
"291","RT @ajanaomi_king: OH GOD PLEASE HELP
#HTGAWM https://t.co/IvjuDznVQH"
"292","STILL trying to process the fact that it was Wes under the sheet AND that we have to wait 2 months to find out how! <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00AB> #HTGAWM"
"293","RT @RestingPlatypus: We got through it. Thanks for tuning in fam. #HTGAWM"
"294","They did it.  They took away my Wes.  Now...who set the bomb to go off??? #HTGAWM"
"295","RT @laurelsgibbin: He was so happy and then he is dead. Okay noted. Black guys with a shitty background dont deserve happiness. #htgawm #ri…"
"296","RT @INKdaRapper: Please let that be Wes' secret evil twin brother, East #HTGAWM   @shondarhimes"
"297","nope #HTGAWM"
"298","RT @fyeahtgawm: Raise your hand if you've been victimized by this episode. #HTGAWM @HowToGetAwayABC @petenowalk @violadavis https://t.co/4K…"
"299","RT @ajanaomi_king: For those that already know ...I'm so sorry.
#HTGAWM"
"300","RT @erjefferson: Fifteen minutes after the #HTGAWM finale, I'm still sitting up here trying to figure out how Wes died. https://t.co/m0mLpN…"
"301","RT @conradricamora: Thanks for watching #htgawm fans. I know what ur going through. I'm right there with you. <U+2764><U+FE0F>"
"302","Connor : ""Like you already don't know""
YES HE WILL KNOW IF YOU DONT SHUT YOUR MOUTH #HTGAWM"
"303","OMFG #HTGAWM"
"304","For a sec I thought it was Nate and nearly bowled over crying #htgawm https://t.co/RCMeRXLN5V"
"305","OMG people are even complaining about seeing the body!! ofc they are gonna show the body like wtf how is that a complaint #htgawm"
"306","RT @ajanaomi_king: For those that already know ...I'm so sorry.
#HTGAWM"
"307","RT @kaaaaaaaaaarl: I think I need Annalise's Vodka or junk foods to process what happened. #HTGAWM"
"308","RT @EveretteImani: No no no! You cannot say he was dead before the fire and then end the season!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1> #HTGAWM"
"309","RT @aiineything: This season is so full of surprises I can't even handle them anymore!!! #HTGAWM"
"310","RT @SandGomezz: Me rn cause of #HTGAWM https://t.co/xWLiXbTiI2"
"311","OMG last night's episode was mad #HTGAWM"
"312","#HTGAWM WHY U DOIN THIS TO MEEEEEEEE (EP309)"
"313","We need to stop giving Shonda Rhimes(@shondarhimes) all the credit for #HTGAWM. @petenowalk needs more recognition!!!"
"314","RT @Dbymyself: BECAUSE WE <U+2665> HOLLYWOOD
https://t.co/D2C7O0BAuU #HTGAWM #streetwear #fashionblogger #DESIGNEDbymyself"
"315","RT @RestingPlatypus: Pretty, yes, but also smart, talented, funny, badass women <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> #HTGAWM  https://t.co/iSDiwD7Xec"
"316","RT @liza_weil: I love you Wes Gibbons. I love you Alfred Enoch. <U+2764><U+FE0F>
#HTGAWM"
"317","RT @laurelsgibbin: This is the man you all hated so much. Congrats. #htgawm #ripwesgibbins https://t.co/9CxorpY5TI"
"318","RT @conradricamora: Thanks for watching #htgawm fans. I know what ur going through. I'm right there with you. <U+2764><U+FE0F>"
"319","RT @lovea__: Going to sleep upset &amp; confused like somebody broke my heart after this #htgawm episode.. goodnight<ed><U+00A0><U+00BD><ed><U+00B8><U+0096><ed><U+00A0><U+00BD><ed><U+00B8><U+0096><ed><U+00A0><U+00BD><ed><U+00B8><U+0096>"
"320","RT @MsOriginality18: When The Lady Lifted Up The Sheet And It Was Wes <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9> I Have Never Been This Shook Over A Show #HTGAWM https://t.co/WFat…"
"321","RT @MsOriginality18: When The Lady Lifted Up The Sheet And It Was Wes <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9> I Have Never Been This Shook Over A Show #HTGAWM https://t.co/WFat…"
"322","RT @erjefferson: Fifteen minutes after the #HTGAWM finale, I'm still sitting up here trying to figure out how Wes died. https://t.co/m0mLpN…"
"323","RT @HowToGetAwayABC: No words!
#HTGAWM https://t.co/3tgYe33cz4"
"324","RT @gabbydavidson_: how to get away with murder just furthered my belief that 2016 is the worst year in existence #HTGAWM"
"325","OMG no not Wes #HTGAWM"
"326","RT @MsOriginality18: When The Lady Lifted Up The Sheet And It Was Wes <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9> I Have Never Been This Shook Over A Show #HTGAWM https://t.co/WFat…"
"327","RT @nuffsaidNY: Calling out tomorrow. There was a death in my family tonight and I need time to mourn. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #HTGAWM https://t.co/y5oQoN7jLW"
"328","RT @Nicole_Tweetss: After finding out who's under the sheet #HTGAWM https://t.co/aAY1Bd9Qe9"
"329","RT @VICKYROZAY: RIP WES 9/25/14 - 11/17/16 #AlfredEnoch #htgawm #shondayoudeadwrong https://t.co/tXP3shxGJl"
"330","RT @thekeating5ive: ""What happened? Do you know? Did you see him in the house? Do you know what happened?"" #HTGAWM <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>
@KarlaSouza7 https:/…"
"331","#HTGAWM When u live in Spain and you watch the episode at university and you start crying in class <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> @RestingPlatypus"
"332","RT @nuffsaidNY: Calling out tomorrow. There was a death in my family tonight and I need time to mourn. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #HTGAWM https://t.co/y5oQoN7jLW"
"333","RT @HowToGetAwayABC: Do. Not. Mess!!!
 #HTGAWM https://t.co/U2H60spYul"
"334","Why did I have to see that spoiler ffs, I feel betrayed by #HTGAWM 

Unfucking believable."
"335","RT @Gia98Gia: After seeing who was under the sheet #HTGAWMWinterFinale #HTGAWM https://t.co/HCB8NYbMdo"
"336","RT @HaleftBush: I would like to take a moment to appreciate the entire cast of #HTGAWM @RestingPlatypus @KarlaSouza7 @ajanaomi_king @MattMc…"
"337","RT @Oree__: Wowwww, 2016 is really trash #HTGAWM"
"338","RT @thatwhittt: I need some kind of #HTGAWM inner circle where we can all support each other emotionally because I cannot deal for the next…"
"339","How dare they!!! #HTGAWM"
"340","Wth why is everyone kissing?? #HTGAWM"
"341","Wtfffff Wes and Laurel both went over because of Annalise??? Stoooopid #htgawm"
"342","#HTGAWM SPOILER ALERT:
HOLY SHIT"
"343","RT @funbeaz: Pretty much
#HTGAWM https://t.co/4FHK4HGzfP"
"344","RT @cmireid: I just got so wrapped up in the episode i forgot to live tweet. If that doesn't say something I don't know what does. #htgawm…"
"345","#HTGAWM I can't believe it's Wes, I thought it was gonna be nate... smh... now we gotta wait"
"346","RT @htgawbelle: THEY ARE HEARTBROKEN #HTGAWM https://t.co/jvB8AOaTso"
"347","RT @iBiebTeam: me: I know who's under the sheet 

htgawm writers: bitch you don't even know

#HTGAWM https://t.co/OKKCSoYUa8"
"348","It hurts so much that I needed to rewatch Friends to brighten me up #HTGAWM"
"349","RT @thatsclaudia: tag your #htgawm spoilers!!!! Not everyone is american and can watch it live and especially can't watch in the morning bc…"
"350","RT @CallMe_Starlord: Just when you didn't think 2016 could get any worse, we find out who's under the sheet. #htgawm https://t.co/aej0lQyaOQ"
"351","Well that is it @shondarhimes. I'm thinking that you have a personal vendetta against humans emotions #HTGAWM https://t.co/4BKSovCMd9"
"352","This is too much i cant handle it. I cant process anything. I cannot get over it. NO WHY WES WHYY<ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #HTGAWM"
"353","OMG!!!!!!!! #HTGAWM WHY!!!!!!!"
"354","RT @MsOriginality18: When The Lady Lifted Up The Sheet And It Was Wes <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9> I Have Never Been This Shook Over A Show #HTGAWM https://t.co/WFat…"
"355","RT @nuffsaidNY: Calling out tomorrow. There was a death in my family tonight and I need time to mourn. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #HTGAWM https://t.co/y5oQoN7jLW"
"356","WTF???? He's a main character, it can't be possible!!! I thought it was Nate. <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>

 #HTGAWM"
"357","RT @HowToGetAwayABC: #HTGAWM Returns 01.19.17! 
#TGIT IS BACK!!! https://t.co/E2L5czo6Nu"
"358","i can't believe they killed who they killed. i mean i had some thoughts that it could be that person but i didn't wanna believe it. #htgawm"
"359","TOTALLY SPEECHLESS IM #HTGAWM"
"360","RT @TheCharlieWeber: I moved it twice..... <ed><U+00A0><U+00BD><ed><U+00B8><U+0095>
#HTGAWM https://t.co/n8sQX4V17D"
"361","RT @Dbymyself: BECAUSE WE <U+2665> HOLLYWOOD
https://t.co/D2C7O0BAuU #HTGAWM #streetwear #fashionblogger #DESIGNEDbymyself"
"362","RT @CallMe_Starlord: Just when you didn't think 2016 could get any worse, we find out who's under the sheet. #htgawm https://t.co/aej0lQyaOQ"
"363","ASK Q LANG IS WHY EH????????? UGGGGGHHHHHHHH I NEED ANSWERS #HTGAWM"
"364","RT @liza_weil: I love you Wes Gibbons. I love you Alfred Enoch. <U+2764><U+FE0F>
#HTGAWM"
"365","RT @grvfaimptn: me after tonight's episode #HTGAWM https://t.co/uBWhXl6Qch"
"366","Me when they reveal the body under the sheet #HTGAWM @KarlaSouza7 @HowToGetAwayABC @violadavis https://t.co/R3nISV6k2M"
"367","Omg #HTGAWM YOU WILL NEVER GUESS WHO IS UNDER THE SHEET"
"368","I can't deal with #HTGAWM <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9>"
"369","RT @kaaaaaaaaaarl: I think I need Annalise's Vodka or junk foods to process what happened. #HTGAWM"
"370","#HTGAWM @shondarhimes <ed><U+00A0><U+00BD><ed><U+00B8><U+00A5><ed><U+00A0><U+00BD><ed><U+00B8><U+00A5><ed><U+00A0><U+00BD><ed><U+00B8><U+00A5> wat have u done to me???"
